epoch	hours	top1Accuracy
1	0.00305718	28.60
2	0.00549074	50.72
3	0.00792929	42.68
4	0.01036190	43.71
5	0.01280485	29.80
6	0.01524956	34.61
7	0.01768520	36.84
8	0.02010381	39.48
9	0.02254007	42.48
10	0.02497724	24.75
11	0.02740520	26.13
12	0.02980843	30.30
13	0.03224630	21.27
14	0.03469809	10.27
15	0.03712690	30.46
16	0.03957768	25.30
17	0.04201583	36.09
18	0.04442337	24.18
19	0.04686015	41.89
20	0.04933453	58.97
21	0.05172913	13.38
22	0.05416211	46.55
23	0.05660992	13.59
24	0.05902818	60.78
25	0.06142465	45.84
26	0.06383703	32.78
27	0.06626590	59.53
28	0.06865480	50.85
29	0.07116665	24.82
30	0.07359014	71.76
31	0.07598202	63.05
32	0.07838461	39.63
33	0.08079482	32.93
34	0.08320303	66.70
35	0.08560187	52.05
36	0.08800424	73.97
37	0.09043263	50.75
38	0.09288485	63.54
39	0.09529407	80.02
40	0.09770054	83.19
41	0.10011117	78.90
42	0.10252430	86.37
43	0.10492166	81.94
44	0.10733762	85.61
45	0.10975835	87.67
46	0.11218875	90.40
47	0.11462172	90.94
48	0.11705349	91.85
49	0.11946676	92.60
50	0.12186490	92.96
