epoch	hours	top1Accuracy
1	0.00657371	10.00
2	0.01248745	12.79
3	0.01777363	8.45
4	0.02300457	9.79
5	0.02870458	10.00
6	0.03417068	10.40
7	0.03937700	13.69
8	0.04476978	20.91
9	0.05052247	24.47
10	0.05575082	26.66
11	0.06113878	32.12
12	0.06694710	39.78
13	0.07214274	39.59
14	0.07748524	41.89
15	0.08338809	45.83
16	0.08864887	49.95
17	0.09387489	49.86
18	0.09957792	50.70
19	0.10481268	52.53
20	0.11056099	57.32
21	0.11581471	59.16
22	0.12108208	64.70
23	0.12695446	62.43
24	0.13211254	67.18
25	0.13740373	68.98
