epoch	hours	top1Accuracy
1	0.00440989	14.97
2	0.00760105	15.38
3	0.01081980	16.54
4	0.01398665	14.55
5	0.01717527	18.92
6	0.02039287	28.58
7	0.02359413	21.99
8	0.02680417	25.62
9	0.03011601	36.08
10	0.03331997	33.87
11	0.03653517	41.14
12	0.03970718	32.84
13	0.04292541	49.98
14	0.04614619	37.97
15	0.04932271	60.80
16	0.05252951	39.85
17	0.05572740	44.20
18	0.05894002	47.14
19	0.06216626	67.06
20	0.06537964	67.76
21	0.06859874	50.94
22	0.07182879	66.76
23	0.07504868	61.36
24	0.07826149	65.67
25	0.08146923	71.60
26	0.08467707	66.48
27	0.08786739	70.26
28	0.09104968	71.80
29	0.09427955	72.93
30	0.09745263	74.76
31	0.10058626	72.07
32	0.10375294	73.02
33	0.10694571	76.19
34	0.11012029	79.94
35	0.11331348	79.20
36	0.11653301	78.90
37	0.11973764	81.02
38	0.12294987	81.46
39	0.12612265	82.23
40	0.12934023	81.55
41	0.13255144	81.99
42	0.13567957	82.60
43	0.13888374	82.04
44	0.14209684	82.22
45	0.14530301	83.62
46	0.14849296	84.05
47	0.15171199	83.92
48	0.15491392	84.06
49	0.15809622	84.36
50	0.16130392	84.34
