epoch	hours	top1Accuracy
1	0.00504261	22.31
2	0.00835689	15.75
3	0.01176886	23.83
4	0.01505962	24.64
5	0.01837941	15.88
6	0.02180510	12.38
7	0.02521748	30.30
8	0.02860441	37.12
9	0.03199397	28.73
10	0.03539014	13.83
11	0.03872050	21.27
12	0.04213027	42.85
13	0.04546693	40.61
14	0.04872749	52.48
15	0.05199509	47.59
16	0.05526296	34.39
17	0.05850124	52.82
18	0.06183904	48.64
19	0.06523910	60.87
20	0.06856899	47.93
21	0.07192762	64.46
22	0.07518316	65.75
23	0.07856416	75.35
24	0.08197437	64.93
25	0.08531003	60.00
26	0.08870139	79.79
27	0.09205807	83.85
28	0.09542747	85.91
29	0.09879977	87.68
30	0.10216977	88.38
