epoch	hours	top1Accuracy
1	0.00343616	27.31
2	0.00613100	37.09
3	0.00882822	25.22
4	0.01152083	33.49
5	0.01422376	24.80
6	0.01692208	24.56
7	0.01961764	22.34
8	0.02231469	17.33
9	0.02501587	21.38
10	0.02771472	17.95
11	0.03044777	27.91
12	0.03314735	48.56
13	0.03584660	23.83
14	0.03854828	22.87
15	0.04124936	37.72
16	0.04395236	25.60
17	0.04665529	36.80
18	0.04935750	39.42
19	0.05206042	29.18
20	0.05476192	39.72
21	0.05749748	39.36
22	0.06019527	31.00
23	0.06289616	26.59
24	0.06559444	28.82
25	0.06829415	44.22
26	0.07099292	33.46
27	0.07369067	41.54
28	0.07639814	31.63
29	0.07909735	18.13
30	0.08179561	16.22
31	0.08452673	32.70
32	0.08722482	27.18
33	0.08992209	30.16
34	0.09262226	30.04
35	0.09532066	41.19
36	0.09801948	44.75
37	0.10072205	44.25
38	0.10341910	39.82
39	0.10611856	46.48
40	0.10881599	46.80
41	0.11154456	54.19
42	0.11424115	28.46
43	0.11693683	26.74
44	0.11963150	40.63
45	0.12232617	35.93
46	0.12502652	49.68
47	0.12771898	49.35
48	0.13041273	52.41
49	0.13310337	54.15
50	0.13579556	55.46
