epoch	hours	top1Accuracy
1	0.00346702	24.83
2	0.00616242	18.59
3	0.00885481	28.52
4	0.01154738	16.81
5	0.01424968	42.80
6	0.01694482	42.34
7	0.01964035	62.38
8	0.02233811	53.70
9	0.02503614	52.89
10	0.02773319	57.20
11	0.03046508	49.64
12	0.03316418	70.09
13	0.03586328	54.25
14	0.03856246	65.17
15	0.04125945	54.74
16	0.04396152	63.59
17	0.04666646	56.98
18	0.04936813	64.19
19	0.05207073	48.80
20	0.05477390	67.65
21	0.05750733	59.21
22	0.06020757	71.00
23	0.06290584	59.08
24	0.06560441	74.93
25	0.06830353	61.04
26	0.07100280	65.02
27	0.07370191	59.46
28	0.07641049	61.88
29	0.07910887	59.27
30	0.08180562	63.84
31	0.08454489	69.25
32	0.08724487	66.63
33	0.08994087	76.37
34	0.09264111	61.63
35	0.09534352	76.96
36	0.09810768	69.78
37	0.10080742	73.78
38	0.10350456	69.58
39	0.10620660	75.45
40	0.10891292	73.22
41	0.11164407	77.10
42	0.11433778	75.11
43	0.11703856	72.86
44	0.11973281	72.05
45	0.12242701	77.98
46	0.12512296	79.92
47	0.12781647	82.49
48	0.13050830	83.47
49	0.13320217	86.22
50	0.13589512	89.67
