epoch	hours	top1Accuracy
1	0.00336281	25.26
2	0.00603421	32.33
3	0.00872452	28.64
4	0.01143339	42.76
5	0.01413698	28.08
6	0.01690657	29.81
7	0.01961199	18.52
8	0.02232213	29.65
9	0.02503783	33.32
10	0.02775804	37.18
11	0.03047729	29.65
12	0.03319997	29.23
13	0.03592447	13.82
14	0.03864702	13.65
15	0.04136714	24.67
16	0.04408880	19.78
17	0.04680894	18.96
18	0.04952313	15.98
19	0.05223364	16.86
20	0.05495194	16.17
21	0.05765949	14.73
22	0.06036975	14.73
23	0.06307996	17.00
24	0.06577996	15.77
25	0.06847831	16.41
26	0.07117466	16.50
27	0.07386647	16.35
28	0.07655210	16.50
29	0.07923157	15.28
30	0.08190343	15.66
31	0.08456575	14.51
32	0.08722264	14.64
33	0.08987862	12.58
34	0.09253193	10.21
35	0.09518054	10.00
36	0.09782504	10.00
37	0.10046847	10.00
38	0.10310760	10.00
39	0.10575063	10.00
40	0.10838718	10.00
41	0.11102028	10.00
42	0.11365131	10.00
43	0.11627981	10.00
44	0.11890384	10.00
45	0.12152339	10.00
46	0.12414227	10.00
47	0.12676158	10.00
48	0.12937723	10.00
49	0.13199356	10.00
50	0.13461280	10.00
