epoch	hours	top1Accuracy
1	0.00178406	61.25
2	0.00292377	66.33
3	0.00418614	78.45
4	0.00533064	74.72
5	0.00651060	76.88
6	0.00769369	79.15
7	0.00886521	80.90
8	0.01000975	79.95
9	0.01116890	78.86
10	0.01231729	81.18
11	0.01346530	83.27
12	0.01462384	84.58
13	0.01577403	80.36
14	0.01692639	85.48
15	0.01808064	85.43
16	0.01923369	84.64
17	0.02039563	83.74
18	0.02154797	84.11
19	0.02270190	80.03
20	0.02386387	84.98
21	0.02501812	86.17
22	0.02617229	83.31
23	0.02738652	84.92
24	0.02854623	83.66
25	0.02970233	86.14
26	0.03086480	84.81
27	0.03202089	85.64
28	0.03317833	85.66
29	0.03433732	87.66
30	0.03549851	86.47
31	0.03666596	82.33
32	0.03782586	86.56
33	0.03898255	86.56
34	0.04015282	88.70
35	0.04131145	89.19
36	0.04246992	87.60
37	0.04363301	89.09
38	0.04479185	88.86
39	0.04594983	89.36
40	0.04711372	88.69
41	0.04829024	89.19
42	0.04945654	88.35
43	0.05061977	87.34
44	0.05177800	90.21
45	0.05295084	90.65
46	0.05411071	90.89
47	0.05526950	89.65
48	0.05643408	91.49
49	0.05759386	91.43
50	0.05875498	91.83
51	0.05991761	91.16
52	0.06107530	90.81
53	0.06223576	92.80
54	0.06339964	92.99
55	0.06455890	94.02
56	0.06572001	94.39
57	0.06688388	94.29
58	0.06804197	94.80
59	0.06922163	94.98
60	0.07038689	95.04
