epoch	hours	top1Accuracy
1	0.00201843	24.59
2	0.00339510	32.75
3	0.00477436	38.95
4	0.00615215	44.80
5	0.00752984	49.37
6	0.00890563	53.00
7	0.01028463	55.50
8	0.01166323	58.45
9	0.01304316	59.32
10	0.01442384	60.91
11	0.01580555	62.24
12	0.01718486	63.41
13	0.01856707	64.41
14	0.01994952	64.90
15	0.02133181	66.46
16	0.02271396	66.22
17	0.02409739	66.41
18	0.02547820	68.26
19	0.02686141	67.66
20	0.02824511	69.20
21	0.02962797	68.68
22	0.03101005	69.70
23	0.03239141	69.99
24	0.03377286	70.32
25	0.03515274	70.56
26	0.03653498	69.66
27	0.03791818	71.43
28	0.03930265	70.89
29	0.04068567	71.31
30	0.04207060	71.82
31	0.04345250	71.05
32	0.04483494	72.07
33	0.04621771	72.17
34	0.04760045	72.19
35	0.04898195	72.51
36	0.05036432	73.15
37	0.05174617	73.16
38	0.05312807	72.60
39	0.05451218	72.50
40	0.05589584	73.02
41	0.05727833	73.48
42	0.05866396	72.30
43	0.06004848	73.74
44	0.06143186	74.02
45	0.06281503	74.10
46	0.06419993	73.06
47	0.06558502	73.73
48	0.06696886	73.86
49	0.06835102	74.45
50	0.06973737	74.17
51	0.07112039	74.31
52	0.07250745	74.38
53	0.07389145	74.54
54	0.07527439	74.89
55	0.07665866	74.74
56	0.07804408	74.38
57	0.07943111	74.87
58	0.08081804	74.68
59	0.08220350	74.77
60	0.08358961	75.28
61	0.08497354	75.55
62	0.08635749	75.32
63	0.08774191	74.92
64	0.08912689	74.55
65	0.09051178	74.98
66	0.09189689	75.18
67	0.09328127	75.09
68	0.09466672	75.57
69	0.09604996	75.30
70	0.09743480	75.52
71	0.09881787	75.26
72	0.10020235	75.59
73	0.10158989	75.05
74	0.10297480	75.26
75	0.10435929	75.77
76	0.10574324	75.78
77	0.10712927	75.68
78	0.10851675	75.74
79	0.10990294	75.66
80	0.11128728	75.78
81	0.11267289	76.17
82	0.11406229	75.76
83	0.11544865	75.70
84	0.11683417	76.17
85	0.11821999	75.50
86	0.11960380	75.89
87	0.12098901	76.08
88	0.12237505	75.88
89	0.12376142	75.83
90	0.12514804	75.99
91	0.12653242	76.14
92	0.12792124	76.45
93	0.12930630	76.34
94	0.13069075	76.20
95	0.13207572	76.27
96	0.13346029	76.25
97	0.13484659	76.29
98	0.13623203	76.19
99	0.13761709	76.19
100	0.13900329	76.12
