epoch	hours	top1Accuracy
1	0.00209218	24.59
2	0.00348768	32.93
3	0.00482664	40.53
4	0.00616653	44.19
5	0.00750583	48.86
6	0.00884610	52.49
7	0.01018697	54.61
8	0.01152692	55.53
9	0.01286959	57.79
10	0.01421097	59.30
11	0.01555134	59.24
12	0.01689314	60.69
13	0.01823470	60.98
14	0.01957906	60.61
15	0.02092330	60.75
16	0.02226693	61.28
17	0.02361162	61.38
18	0.02495581	62.48
19	0.02630021	62.35
20	0.02764604	62.14
21	0.02898959	62.57
22	0.03033305	62.72
23	0.03167745	62.32
24	0.03302204	63.25
25	0.03436562	63.21
26	0.03571069	63.25
27	0.03705558	63.34
28	0.03840172	63.48
29	0.03974665	62.97
30	0.04109220	63.53
31	0.04243738	63.60
32	0.04378228	63.41
33	0.04512702	62.58
34	0.04647249	63.15
35	0.04781730	62.72
36	0.04916270	63.01
37	0.05050920	63.09
38	0.05185442	63.39
39	0.05320020	63.56
40	0.05454818	63.20
41	0.05589482	62.86
42	0.05724199	63.31
43	0.05858961	63.46
44	0.05993695	63.43
45	0.06128501	61.87
46	0.06263308	63.41
47	0.06398172	63.17
48	0.06533033	62.83
49	0.06667797	62.96
50	0.06802553	62.93
51	0.06937419	62.82
52	0.07072250	62.51
53	0.07207097	62.44
54	0.07341897	62.51
55	0.07476710	62.62
56	0.07611474	62.46
57	0.07746316	62.06
58	0.07881160	62.45
59	0.08016027	62.81
60	0.08150903	62.01
61	0.08285753	62.50
62	0.08420633	61.76
63	0.08555545	62.01
64	0.08690356	62.14
65	0.08825206	61.92
66	0.08960021	62.22
67	0.09094845	61.66
68	0.09229808	62.21
69	0.09364844	62.13
70	0.09499670	61.84
71	0.09634516	62.12
72	0.09769381	61.75
73	0.09904351	62.03
74	0.10039231	61.77
75	0.10174240	61.96
76	0.10309242	61.63
77	0.10444285	61.16
78	0.10579238	61.68
79	0.10714208	61.71
80	0.10849066	61.47
81	0.10984040	61.40
82	0.11119133	61.49
83	0.11254142	61.74
84	0.11389233	61.52
85	0.11524304	61.28
86	0.11659307	61.44
87	0.11794366	61.42
88	0.11929370	61.50
89	0.12064364	61.21
90	0.12199536	61.21
91	0.12334577	61.42
92	0.12469481	61.44
93	0.12604517	61.58
94	0.12739429	61.22
95	0.12874556	61.44
96	0.13009671	61.46
97	0.13144657	61.43
98	0.13279689	61.64
99	0.13414766	61.54
100	0.13549860	61.47
