epoch	hours	top1Accuracy
1	0.00180293	57.36
2	0.00297136	64.46
3	0.00413994	77.35
4	0.00530413	72.10
5	0.00647375	77.23
6	0.00764363	76.87
7	0.00880980	79.51
8	0.00999836	82.18
9	0.01117306	78.98
10	0.01234407	77.15
11	0.01353088	82.37
12	0.01470749	83.34
13	0.01588130	77.08
14	0.01707538	82.33
15	0.01825088	82.07
16	0.01942924	84.13
17	0.02061715	82.13
18	0.02179400	81.76
19	0.02297003	79.97
20	0.02415238	83.44
21	0.02532889	81.26
22	0.02650779	85.06
23	0.02768829	86.27
24	0.02886433	84.17
25	0.03005164	78.87
26	0.03423006	89.41
27	0.03857536	89.75
28	0.04278156	89.53
29	0.04677279	87.62
30	0.05084103	87.55
31	0.05496912	70.60
32	0.05913035	79.43
33	0.06322508	76.40
34	0.06738695	72.11
35	0.07138908	63.66
36	0.07543619	61.74
37	0.07946274	57.00
38	0.08345501	65.48
39	0.08765083	64.15
40	0.09178160	66.16
41	0.09587181	70.77
42	0.09995911	73.08
43	0.10413046	68.80
44	0.10829204	77.96
45	0.11268227	65.35
46	0.11739657	76.36
47	0.12171021	70.44
48	0.12612587	77.65
49	0.13028350	72.61
50	0.13438119	77.78
51	0.13844951	66.95
52	0.14259264	68.94
53	0.14690938	70.41
54	0.15126560	77.39
55	0.15540943	65.08
56	0.15966603	76.39
57	0.16403375	74.06
58	0.16832441	73.54
59	0.17261544	76.08
60	0.17632022	80.81
61	0.18061951	78.82
62	0.18478160	80.07
63	0.18916743	79.35
64	0.19316703	74.01
65	0.19726420	79.99
66	0.20177125	79.51
67	0.20609890	81.03
68	0.21030680	76.11
69	0.21437024	82.30
70	0.21839965	81.50
71	0.22265380	81.10
72	0.22683480	76.51
73	0.23089822	80.12
74	0.23496574	78.82
75	0.23926370	79.00
76	0.24381428	79.04
77	0.24806673	83.03
78	0.25239051	82.94
79	0.25643369	81.06
80	0.26062935	82.39
81	0.26537589	80.00
82	0.26947923	82.09
83	0.27360694	77.38
84	0.27755247	81.38
85	0.28150813	83.35
86	0.28553082	85.05
87	0.28960551	82.60
88	0.29364562	85.01
89	0.29767791	84.92
90	0.30176404	85.03
91	0.30581138	83.87
92	0.30985669	84.01
93	0.31391695	86.77
94	0.31809522	86.61
95	0.32229171	85.21
96	0.32650185	87.15
97	0.33052988	87.05
98	0.33499211	87.80
99	0.33930162	88.51
100	0.34340628	88.60
