epoch	hours	top1Accuracy
1	0.00524895	25.96
2	0.00973547	32.97
3	0.01417578	38.42
4	0.01856326	41.77
5	0.02300818	44.74
6	0.02746878	49.06
7	0.03177136	49.00
8	0.03625296	48.05
9	0.04072240	49.55
10	0.04489511	50.74
11	0.04916777	53.19
12	0.05351803	48.04
13	0.05802546	54.87
14	0.06256276	54.22
15	0.06667833	54.47
16	0.07080758	53.67
17	0.07494008	56.18
18	0.07904499	56.66
19	0.08318490	55.57
20	0.08738135	54.26
21	0.09154037	55.56
22	0.09562134	57.24
23	0.09985942	55.87
24	0.10402408	56.89
25	0.10835672	55.35
26	0.11241594	56.99
27	0.11688230	57.26
28	0.12098097	56.61
29	0.12518937	58.06
30	0.12937156	56.23
31	0.13345397	58.08
32	0.13747876	56.70
33	0.14154518	57.96
34	0.14562132	57.51
35	0.14964538	57.87
36	0.15395029	57.94
37	0.15840302	58.14
38	0.16249139	58.71
39	0.16683830	58.53
40	0.17101148	58.84
