epoch	hours	top1Accuracy
1	0.00498071	34.29
2	0.00930094	43.74
3	0.01388509	47.77
4	0.01850846	52.35
5	0.02282224	52.24
6	0.02714725	51.19
7	0.03146850	49.91
8	0.03595588	52.09
9	0.04012754	52.08
10	0.04418866	43.29
11	0.04847323	40.58
12	0.05287570	50.34
13	0.05708684	57.55
14	0.06134211	59.53
15	0.06555272	60.45
16	0.06979341	62.75
17	0.07410713	62.58
18	0.07844221	65.05
19	0.08305720	65.12
20	0.08721808	68.08
21	0.09130663	60.59
22	0.09548554	66.19
23	0.09976394	67.72
24	0.10395061	67.84
25	0.10831556	66.06
26	0.11268213	65.36
27	0.11703880	69.30
28	0.12132141	69.84
29	0.12572519	69.09
30	0.12999455	64.41
31	0.13427533	72.41
32	0.13836498	70.04
33	0.14258123	72.62
34	0.14696733	65.73
35	0.15108885	73.20
36	0.15534428	70.11
37	0.15943316	68.33
38	0.16353366	75.57
39	0.16763206	74.33
40	0.17205447	72.31
41	0.17642880	73.52
42	0.18069934	68.89
43	0.18534822	76.94
44	0.18952230	73.59
45	0.19407653	76.63
46	0.19854920	76.32
47	0.20284991	76.67
48	0.20694945	74.40
49	0.21107823	71.24
50	0.21523717	77.29
51	0.21928310	75.61
52	0.22351182	78.45
53	0.22782053	78.67
54	0.23201282	81.53
55	0.23631069	78.70
56	0.24068321	81.04
57	0.24483454	82.86
58	0.24909067	81.84
59	0.25342274	83.35
60	0.25779568	83.98
