epoch	hours	top1Accuracy
1	0.00401426	33.03
2	0.00535012	41.41
3	0.00668735	50.07
4	0.00802541	54.70
5	0.00936147	65.84
6	0.01069879	70.15
7	0.01204080	67.91
8	0.01338144	72.16
9	0.01472407	78.11
10	0.01606326	78.69
11	0.01740361	77.57
12	0.01874529	73.68
13	0.02008658	76.08
14	0.02142849	77.27
15	0.02277094	82.63
16	0.02411319	81.02
17	0.02545709	83.14
18	0.02679961	79.22
19	0.02814282	74.55
20	0.02948806	83.67
21	0.03083250	82.30
22	0.03217664	84.25
23	0.03352054	84.05
24	0.03486627	79.47
25	0.03621106	84.56
26	0.03755498	84.57
27	0.03889950	84.16
28	0.04024438	87.04
29	0.04158924	84.25
30	0.04293464	83.63
31	0.04428234	85.00
32	0.04562815	86.15
33	0.04697365	85.37
34	0.04831903	87.15
35	0.04966393	83.71
36	0.05100960	87.55
37	0.05235588	84.17
38	0.05370188	81.55
39	0.05504836	84.31
40	0.05639539	84.30
41	0.05774167	85.69
42	0.05908759	86.31
43	0.06043513	87.29
44	0.06178169	86.19
45	0.06312982	87.09
46	0.06447597	85.29
47	0.06582204	83.79
48	0.06716885	87.41
49	0.06851568	87.10
50	0.06986284	87.31
51	0.07120933	86.03
52	0.07255655	85.60
53	0.07390418	88.06
54	0.07525057	85.82
55	0.07659680	87.50
56	0.07794329	86.13
57	0.07928992	88.33
58	0.08063719	86.36
59	0.08198388	84.74
60	0.08333154	88.50
61	0.08467806	88.08
62	0.08602589	87.32
63	0.08737419	89.21
64	0.08872131	85.69
65	0.09006905	86.77
66	0.09141588	87.07
67	0.09276437	89.81
68	0.09411486	89.32
69	0.09546379	89.61
70	0.09681394	89.98
71	0.09816362	89.20
72	0.09951159	89.93
73	0.10086028	90.16
74	0.10220942	89.23
75	0.10355774	89.71
76	0.10490557	90.24
77	0.10625495	89.40
78	0.10760382	88.70
79	0.10896026	89.89
80	0.11030961	89.70
81	0.11165957	90.00
82	0.11301020	90.26
83	0.11435978	90.78
84	0.11570866	88.76
85	0.11706108	89.78
86	0.11840963	90.71
87	0.11975885	89.36
88	0.12110726	90.83
89	0.12245559	90.39
90	0.12380538	90.69
91	0.12515446	90.73
92	0.12650332	90.64
93	0.12785270	90.68
94	0.12920177	90.79
95	0.13055106	91.16
96	0.13190038	91.17
97	0.13324980	91.35
98	0.13460097	91.51
99	0.13595179	91.45
100	0.13730138	91.41
