epoch	hours	top1Accuracy
1	0.00279999	35.32
2	0.00398534	41.79
3	0.00518502	45.57
4	0.00639036	43.46
5	0.00757892	47.48
6	0.00878922	49.09
7	0.01003324	47.62
8	0.01122236	48.79
9	0.01242393	46.45
10	0.01363427	48.88
11	0.01482724	50.04
12	0.01603069	49.41
13	0.01722191	46.94
14	0.01841608	45.38
15	0.01963782	46.81
16	0.02082924	44.94
17	0.02202942	39.86
18	0.02323950	32.42
19	0.02443552	27.53
20	0.02563629	25.38
21	0.02683804	22.80
22	0.02810630	21.76
23	0.02930816	20.80
24	0.03052976	20.08
25	0.03172051	20.04
26	0.03292105	19.64
27	0.03410374	18.67
28	0.03528388	18.31
29	0.03645996	17.01
30	0.03763862	15.08
31	0.03882144	11.55
32	0.04000062	10.00
33	0.04118154	10.01
34	0.04236168	10.02
35	0.04353833	9.88
36	0.04471891	9.90
37	0.04590027	10.05
38	0.04707573	9.98
39	0.04825194	10.04
40	0.04943136	10.35
41	0.05060629	10.53
42	0.05181784	11.02
43	0.05299507	11.59
44	0.05416834	11.94
45	0.05535530	11.50
46	0.05653043	10.65
47	0.05770702	10.15
48	0.05891008	10.02
49	0.06008522	10.00
50	0.06126030	10.00
51	0.06246689	10.00
52	0.06363869	10.00
53	0.06482306	10.00
54	0.06600195	10.00
55	0.06717017	10.00
56	0.06837659	10.00
57	0.06954693	10.00
58	0.07071551	10.00
59	0.07194023	10.00
60	0.07311525	10.00
